facility id,year,greenhouse emissions
1000001,2018,302529.48
1000033,2018,0.0
1000049,2018,5929.228
1000050,2018,757846.546
1000051,2018,65311.308
1000052,2018,2281560.444
1000057,2018,
1000058,2018,
1000059,2018,2182583.112
1000060,2018,26175.696
1000061,2018,27786.994
1000065,2018,
1000067,2018,
1000068,2018,858789.116
1000069,2018,76227.316
1000070,2018,1219415.324
1000071,2018,811752.9
1000074,2018,14371.982
1000075,2018,
1000076,2018,26552.1
1000078,2018,
1000080,2018,
1000081,2018,
1000082,2018,
1000085,2018,123273.374
1000087,2018,54800.372
1000088,2018,145321.332
1000092,2018,103941.112
1000095,2018,1646926.348
1000096,2018,44301.184
1000097,2018,3679305.516
1000098,2018,428923.56
1000100,2018,1982.944
1000101,2018,1381328.032
1000102,2018,1008956.412
1000106,2018,2344964.76
1000107,2018,784589.592
1000108,2018,31069.936
1000109,2018,46571.744
1000110,2018,1490801.272
1000111,2018,35221.82
1000112,2018,70705.288
1000113,2018,34950.42
1000114,2018,32708.78
1000115,2018,0.0
1000116,2018,24311.588
1000117,2018,127158.38
1000118,2018,38217.254
1000119,2018,83205.14
1000120,2018,74587.924
1000121,2018,19661.416
1000122,2018,5454.256
1000123,2018,19870.924
1000125,2018,1238247.512
1000127,2018,1822021.72
1000128,2018,19321.776
1000129,2018,
1000130,2018,9840.664
1000131,2018,94891.158
1000132,2018,29577.114
1000133,2018,1672517.104
1000135,2018,344803.876
1000136,2018,1196410.968
1000138,2018,2832859.052
1000141,2018,150881.484
1000144,2018,694176.128
1000145,2018,622218.444
1000146,2018,1565221.948
1000147,2018,25001.456
1000148,2018,87761.324
1000149,2018,10.5
1000150,2018,2682213.06
1000151,2018,55177.844
1000152,2018,51139.456
1000153,2018,3603889.344
1000155,2018,
1000157,2018,208493.014
1000161,2018,112186.284
1000162,2018,3261.388
1000163,2018,138363.576
1000168,2018,1795888.944
1000169,2018,6263.576
1000170,2018,339086.61
1000171,2018,1944047.896
1000172,2018,
1000173,2018,174809.452
1000174,2018,100273.678
1000175,2018,161621.896
1000181,2018,37207.452
1000182,2018,22920.264
1000185,2018,699990.356
1000188,2018,
1000190,2018,92560.856
1000192,2018,14846788.232
1000199,2018,
1000200,2018,
1000203,2018,103041.568
1000207,2018,975859.332
1000208,2018,
1000209,2018,
1000211,2018,147638.924
1000219,2018,33453.442
1000221,2018,
1000222,2018,275545.38
1000223,2018,255426.552
1000224,2018,
1000225,2018,381133.178
1000226,2018,221991.592
1000227,2018,
1000231,2018,160696.72
1000236,2018,212331.7
1000237,2018,229366.596
1000241,2018,331106.224
1000244,2018,89056.62
1000246,2018,109857.54
1000249,2018,192167.528
1000250,2018,1546301.308
1000251,2018,955153.806
1000252,2018,469891.658
1000253,2018,609582.082
1000255,2018,1929684.8
1000257,2018,68689.384
1000259,2018,562956.126
1000263,2018,389817.556
1000264,2018,22957.064
1000265,2018,1774703.724
1000266,2018,
1000267,2018,61781.272
1000268,2018,5810.906
1000269,2018,1599562.832
1000270,2018,62537.268
1000271,2018,1075815.464
1000277,2018,1935698.672
1000278,2018,916958.2
1000279,2018,
1000280,2018,
1000281,2018,
1000282,2018,199128.2
1000283,2018,18615.432
1000284,2018,211106.568
