facility id,frs id,facility name,state,latitude,longitude
1000001,110000490166.0,PSE Ferndale Generating Station,WA,48.828707,-122.685533
1000033,110028036033.0,San Gabriel Cogeneration Facility,CA,34.05845,-117.775114
1000049,110028229030.0,Lange,SD,44.1212,-103.2608
1000050,110041417829.0,Wygen I,WY,44.2862,-105.3843
1000051,110055697107.0,"Mariposa Energy, LLC",CA,37.7965,-121.6049
1000052,110012547431.0,Mesquite Generating Station,AZ,33.3451,-112.8638
1000057,110012186240.0,Tri-Center Naniwa Energy,NV,39.5617,-119.5175
1000058,110012509464.0,CalPeak Power - Vaca Dixon LLC,CA,38.3989,-121.9239
1000059,110021355816.0,Tenaska Kiamichi Generating Station,OK,34.6831,-95.9349
1000060,110022515777.0,Limon Generating Station,CO,39.2038,-103.7005
1000061,110006657885.0,Frank Knutson Station,CO,39.9414,-104.6817
1000065,110022882585.0,CalPeak Power - Border LLC,CA,32.5622,-116.9433
1000067,110001187377.0,Cuyamaca Energy Facility,CA,32.7971,-116.972
1000068,110070081751.0,Apex Generating Station,NV,36.4178,-114.9622
1000069,110006547870.0,"Wallingford Energy, LLC",CT,41.4486,-72.8358
1000070,110070081752.0,High Desert Power Project,CA,34.5953,-117.3647
1000071,110043196528.0,York Energy Center,PA,39.738,-76.3072
1000074,110012516134.0,"Escondido Energy Center, LLC",CA,33.1261,-117.1172
1000075,110012533419.0,Chula Vista Energy Center,CA,32.5914,-117.0586
1000076,110006911404.0,Klamath Energy LLC,OR,42.1727,-121.8144
1000078,110017419523.0,"Combined Locks Energy Center, LLC",WI,44.2717,-88.3011
1000080,110013682498.0,Creed Energy Center,CA,38.2419,-121.8551
1000081,110013666372.0,Lambie Energy Center,CA,38.2216,-121.8683
1000082,110013682470.0,Goose Haven Energy Center,CA,38.2271,-121.844
1000085,110007250009.0,Hartwell Energy Facility,GA,34.3387,-82.8207
1000087,110000338910.0,NRG Energy Center Dover,DE,39.1467,-75.5461
1000088,110002486257.0,GSA Central Heating,DC,38.8856,-77.0244
1000092,110001948046.0,Kneeland Station,MA,42.35,-71.0583
1000095,110021321693.0,Red Oak Power LLC,NJ,40.4481,-74.3497
1000096,110012514662.0,Southeast Chicago Energy Project,IL,41.7181,-87.5449
1000097,110012168901.0,Gila River Power Station,AZ,32.9761,-112.694
1000098,110015743383.0,"Wise County Power Company, LLC",TX,33.0583,-97.9103
1000100,110012268768.0,"New Harquahala Generating Company, LLC",AZ,33.4759,-113.1133
1000101,110019468057.0,Athens Generating Company,NY,42.2728,-73.8492
1000102,110013729251.0,Sunrise Power Company,CA,35.2097,-119.585
1000106,110017747205.0,Waterford Plant,OH,39.5314,-81.7172
1000107,110012174627.0,Osprey Energy Center,FL,28.0525,-81.8083
