year,state,producer type,energy source,CO2 (MT),SO2 (MT),NOx (MT),consumption,generation (mwh)
1990,AK,Total Electric Power Industry,Total,4208809.0,18741.0,12562.0,,5599506.0
1990,AK,Total Electric Power Industry,Coal,1468359.0,14023.0,5890.0,404871,510573.0
1990,AK,Total Electric Power Industry,Natural Gas,2402658.0,11.0,5538.0,42764948,3466261.0
1990,AK,Total Electric Power Industry,Other,0.0,984.0,229.0,,
1990,AK,Total Electric Power Industry,Petroleum,337792.0,3723.0,904.0,961837,497116.0
1990,AL,Total Electric Power Industry,Total,52936063.0,505530.0,218419.0,,79652133.0
1990,AL,Total Electric Power Industry,Coal,51579474.0,485229.0,210395.0,22242353,53658115.0
1990,AL,Total Electric Power Industry,Natural Gas,1112523.0,5.0,2209.0,10401790,1020714.0
1990,AL,Total Electric Power Industry,Other,15962.0,18828.0,5555.0,,
1990,AL,Total Electric Power Industry,Petroleum,228104.0,1469.0,260.0,249875,138089.0
1990,AR,Total Electric Power Industry,Total,23425802.0,77465.0,109397.0,,39099598.0
1990,AR,Total Electric Power Industry,Coal,20350882.0,66538.0,98759.0,11864395,19207935.0
1990,AR,Total Electric Power Industry,Natural Gas,2978324.0,15.0,7335.0,47846352,3578573.0
1990,AR,Total Electric Power Industry,Other,15961.0,10659.0,3212.0,,
1990,AR,Total Electric Power Industry,Petroleum,80635.0,253.0,92.0,169098,79979.0
1990,AZ,Total Electric Power Industry,Total,33111213.0,114687.0,149080.0,,62774297.0
1990,AZ,Total Electric Power Industry,Coal,31727796.0,113431.0,145335.0,15898916,31915610.0
1990,AZ,Total Electric Power Industry,Natural Gas,1270914.0,6.0,3432.0,24942405,2333900.0
1990,AZ,Total Electric Power Industry,Other,0.0,844.0,145.0,,
1990,AZ,Total Electric Power Industry,Petroleum,112503.0,406.0,168.0,258220,151867.0
1990,CA,Total Electric Power Industry,Total,52655643.0,81786.0,127952.0,,165784909.0
1990,CA,Total Electric Power Industry,Coal,3854810.0,31859.0,16168.0,1251133,2637677.0
1990,CA,Total Electric Power Industry,Geothermal,360669.0,0.0,0.0,,14521254.0
1990,CA,Total Electric Power Industry,Natural Gas,42893330.0,206.0,91002.0,667785646,74168308.0
1990,CA,Total Electric Power Industry,Other,482073.0,3358.0,12014.0,,0.0
1990,CA,Total Electric Power Industry,Petroleum,5064761.0,46364.0,8768.0,9288962,5473852.0
1990,CO,Total Electric Power Industry,Total,31517085.0,93165.0,146044.0,,32548127.0
1990,CO,Total Electric Power Industry,Coal,30613928.0,93059.0,144024.0,16019294,29814983.0
1990,CO,Total Electric Power Industry,Natural Gas,878348.0,1.0,1792.0,12401451,1290092.0
1990,CO,Total Electric Power Industry,Other,1130.0,53.0,201.0,,
1990,CO,Total Electric Power Industry,Petroleum,23679.0,53.0,27.0,54167,27390.0
1990,CT,Total Electric Power Industry,Total,12103268.0,52235.0,31512.0,,35147247.0
1990,CT,Total Electric Power Industry,Coal,3560469.0,11127.0,14288.0,1455002,3594645.0
1990,CT,Total Electric Power Industry,Natural Gas,697643.0,4.0,1608.0,11201180,1251479.0
1990,CT,Total Electric Power Industry,Other,462763.0,675.0,2310.0,,0.0
