state,year,greenhouse emissions
AK,2018,2986767.776
AK,2017,3084471.8840000005
AK,2016,3028203.67
AK,2015,3331015.6279999996
AK,2014,3244965.5640000007
AK,2013,3411938.388
AK,2012,3818412.527999999
AK,2011,3815045.096
AL,2018,49769099.969
AL,2017,49170431.85999999
AL,2016,52617859.349
AL,2015,59607144.481
AL,2014,60659203.207
AL,2013,59548581.79999999
AL,2012,61002730.677999996
AL,2011,69795697.04
AR,2018,37843205.838
AR,2017,32556688.448000003
AR,2016,30977871.137999997
AR,2015,27518946.527999997
AR,2014,36214634.392000005
AR,2013,37040697.988000005
AR,2012,36727436.54
AR,2011,35233468.638
AZ,2018,44841345.924
AZ,2017,41494196.361999996
AZ,2016,41107075.034
AZ,2015,46624002.43799999
AZ,2014,49296594.03599998
AZ,2013,50029675.975999996
AZ,2012,47384788.698
AZ,2011,47938629.706
CA,2018,29898501.082
CA,2017,29296633.766
CA,2016,33572854.84599999
CA,2015,41393867.86799997
CA,2014,43236967.16700001
CA,2013,42682939.52400002
CA,2012,44559476.684
CA,2011,33645417.64624532
CO,2018,34729060.39000001
CO,2017,36164446.94
CO,2016,36836661.58399999
CO,2015,38903754.472
CO,2014,39352663.99099999
CO,2013,40156519.58100001
CO,2012,40503257.14500001
CO,2011,40457401.97400001
CT,2018,8361673.034
CT,2017,6411754.279
CT,2016,7205820.347999999
CT,2015,7643161.733999999
CT,2014,6859116.851
CT,2013,7019860.274999999
CT,2012,6892229.763
CT,2011,6770724.351
DC,2018,213946.788
DC,2017,186578.804
DC,2016,190183.18
DC,2015,201833.162
DC,2014,230883.356
DC,2013,207510.596
DC,2012,220519.984
DC,2011,362516.14800000004
DE,2018,2355982.516
DE,2017,2813013.6129999994
DE,2016,3472539.568
DE,2015,3055188.2550000004
DE,2014,3547705.864
DE,2013,3814674.559
DE,2012,4438211.227
DE,2011,3824963.251
FL,2018,84444566.6967457
FL,2017,88307916.43193215
FL,2016,91384993.0158867
FL,2015,93174452.89601098
FL,2014,92685757.4180648
FL,2013,89353148.6
FL,2012,93147490.94599998
FL,2011,95523140.57999998
GA,2018,54277165.396
GA,2017,54280775.138000004
GA,2016,60414750.614000015
GA,2015,58893011.108
GA,2014,62496235.19999999
GA,2013,57504735.654
GA,2012,59461657.912
GA,2011,70896457.90999998
HI,2018,6499349.482
HI,2017,6537805.149999999
HI,2016,6994638.218
HI,2015,7035975.172
HI,2014,7116784.5600000005
HI,2013,7248423.134000001
HI,2012,7604423.098
HI,2011,7914547.434
IA,2018,30020769.684
IA,2017,25865722.784
IA,2016,24392647.551999997
IA,2015,28467806.481999993
IA,2014,32391590.021999992
IA,2013,32014005.258
IA,2012,34574892.853999995
IA,2011,37561426.269999996
ID,2018,1273827.6800000002
ID,2017,1148276.996
ID,2016,1279319.9640000002
ID,2015,1521681.06
ID,2014,980654.8119999999
ID,2013,1343259.7680000002
ID,2012,715486.864
ID,2011,453690.468
IL,2018,56823994.679000005
IL,2017,54738997.547000006
IL,2016,58454589.057999976
IL,2015,69074073.618
IL,2014,81171884.65799999
IL,2013,83640319.40599999
IL,2012,84898678.20799999
IL,2011,96415012.89899999
IN,2018,83402996.95599999
IN,2017,77166256.08800001
IN,2016,78459771.036
IN,2015,81024138.11
IN,2014,97074025.506
IN,2013,93315614.534
IN,2012,93092464.45
IN,2011,101396734.28000005
KS,2018,23247365.196
KS,2017,22096172.207999997
KS,2016,25909050.04
KS,2015,27958698.132
KS,2014,31948321.152
KS,2013,33230907.316000007
KS,2012,32069294.334
KS,2011,35776679.064
KY,2018,66489078.37499999
KY,2017,63125340.048999995
KY,2016,72676140.75800002
KY,2015,76955104.26
KY,2014,85520822.547
KY,2013,84670980.89
KY,2012,85543055.19599998
KY,2011,92626735.99800001
LA,2018,41025755.34000001
LA,2017,40637582.40100001
LA,2016,44039790.09899999
LA,2015,46429611.61099999
LA,2014,46676387.76599998
LA,2013,47175422.458000004
LA,2012,49262697.151999995
LA,2011,51928143.234999985
MA,2018,8090096.465999999
MA,2017,10455780.653
MA,2016,10890261.417000001
MA,2015,11545506.723000001
MA,2014,11109910.046
MA,2013,12866627.664
MA,2012,12417096.472000003
MA,2011,14653781.595999999
MD,2018,14715705.272000002
MD,2017,10561517.42
MD,2016,15907568.486
MD,2015,15349786.637999998
MD,2014,17971574.508
MD,2013,15710429.152
MD,2012,17542619.123999998
MD,2011,21253293.616000004
ME,2018,1073866.178
ME,2017,989596.2500000001
ME,2016,1436818.9819999998
ME,2015,1600611.2920000004
ME,2014,1835857.66
ME,2013,1675965.484
ME,2012,1993477.864
ME,2011,2355420.406
MI,2018,61456516.45399998
MI,2017,58568161.907999985
MI,2016,58808305.98999999
MI,2015,65398323.357999995
MI,2014,62958921.814
MI,2013,65758353.21040001
MI,2012,66461723.839999996
MI,2011,67614560.80599998
MN,2018,28275898.799999993
MN,2017,26963659.515
MN,2016,28270196.846
MN,2015,28482105.166999996
MN,2014,30744368.747999996
MN,2013,27492635.987
MN,2012,27005402.052
MN,2011,30798817.663
MO,2018,63499883.17000002
MO,2017,66580812.338
MO,2016,61168589.684
MO,2015,64900207.113999985
MO,2014,70648716.03600003
MO,2013,74023897.70200002
MO,2012,72989860.11499998
MO,2011,80305452.44000003
MS,2018,26865369.807
MS,2017,25189882.096
MS,2016,26968397.048
MS,2015,26002774.139000002
MS,2014,24789429.357
MS,2013,23157454.075999998
MS,2012,23526457.106
MS,2011,22886215.514000002
MT,2018,15355899.107999997
MT,2017,15784612.192
MT,2016,16814186.93
MT,2015,18799567.002
MT,2014,18327106.744
MT,2013,17488289.112
MT,2012,16734488.036
MT,2011,17637005.498000003
NC,2018,43159816.85
NC,2017,42231848.638000004
NC,2016,44186530.984
NC,2015,44149450.876
NC,2014,45146589.944000006
NC,2013,45229022.29000001
NC,2012,43194486.14
NC,2011,49239181.620000005
ND,2018,20949801.204
ND,2017,21143929.448
ND,2016,21216996.507999998
ND,2015,21451930.088
ND,2014,20939577.093999997
ND,2013,20814543.400000002
ND,2012,20966070.938
ND,2011,21065188.448000003
NE,2018,23396981.416
NE,2017,21352969.552
NE,2016,21469573.094
NE,2015,23996995.136000004
NE,2014,25019141.301999997
NE,2013,26846018.364000008
NE,2012,25070560.373999998
NE,2011,26201499.457999997
NH,2018,2103910.9639999997
NH,2017,1815794.778
NH,2016,2328289.512
NH,2015,3489017.154
NH,2014,3271809.5779999997
NH,2013,3348360.826
NH,2012,4248035.494
NH,2011,5054838.582
NJ,2018,17507087.201999996
NJ,2017,17144896.196999997
NJ,2016,20027343.221999995
NJ,2015,18354531.366999995
NJ,2014,17162677.806
NJ,2013,14483660.586000001
NJ,2012,14900102.846
NJ,2011,15810784.353999995
NM,2018,19893815.89
NM,2017,23776616.92
NM,2016,23606942.09
NM,2015,26347090.644
NM,2014,26241372.636
NM,2013,30510848.384
NM,2012,29998638.642
NM,2011,30867479.33
NV,2018,13898380.034000004
NV,2017,13227136.694000002
NV,2016,14248438.195999999
NV,2015,14835087.601999998
NV,2014,16247948.564000001
NV,2013,15774672.725999998
NV,2012,14865266.394
NV,2011,14847618.683250004
NY,2018,26553094.309999987
NY,2017,24244686.174999997
NY,2016,29907086.981999997
NY,2015,31768034.597
NY,2014,32931350.01399998
NY,2013,32495858.816000007
NY,2012,34158946.21
NY,2011,35446406.162
OH,2018,76033302.007
OH,2017,78873808.97500002
OH,2016,79651953.68200001
OH,2015,82381832.47599998
OH,2014,97683084.928
OH,2013,99536145.97600004
OH,2012,94726500.03
OH,2011,108534736.13800001
OK,2018,32305942.073999994
OK,2017,29953240.792999998
OK,2016,34784112.738
OK,2015,38831269.644
OK,2014,41198274.72799999
OK,2013,43386404.423999995
OK,2012,46492908.14599999
OK,2011,49047736.938
OR,2018,8593599.416000001
OR,2017,7699755.381999999
OR,2016,7966597.796
OR,2015,8692187.56
OR,2014,8078717.495999999
OR,2013,9282614.522
OR,2012,7016282.948
OR,2011,6437809.158000001
PA,2018,74679721.79599999
PA,2017,78384041.24700001
PA,2016,82976268.38700001
PA,2015,89034621.20600004
PA,2014,98626519.65100001
PA,2013,106104875.76299997
PA,2012,106885335.10600002
PA,2011,114056266.43599996
RI,2018,3209949.7309999997
RI,2017,2912639.779
RI,2016,2561934.16
RI,2015,2786767.6739999996
RI,2014,2515350.39
RI,2013,2518577.69
RI,2012,3393700.3040000005
RI,2011,3585432.4680000003
SC,2018,26027493.661
SC,2017,22503845.125000004
SC,2016,25133863.408
SC,2015,26286285.210000005
SC,2014,29284971.284
SC,2013,25317155.959999997
SC,2012,30296732.742000002
SC,2011,35627187.61
SD,2018,3079533.082
SD,2017,2620985.416
SD,2016,2682909.0280000004
SD,2015,1975674.662
SD,2014,3107781.622
SD,2013,3293043.038
SD,2012,3230315.444
SD,2011,3013966.972
TN,2018,26910530.126999997
TN,2017,32964064.969
TN,2016,35477602.035000004
TN,2015,33904193.771000005
TN,2014,38016465.122
TN,2013,34997508.56
TN,2012,38593492.324
TN,2011,40633176.866
TX,2018,194336533.87865385
TX,2017,202391625.86733308
TX,2016,198679158.46714506
TX,2015,200055282.30950585
TX,2014,213012174.04378983
TX,2013,215663547.78404948
TX,2012,210270038.67599997
TX,2011,223354896.99999994
UT,2018,28471596.018999998
UT,2017,27433101.629
UT,2016,27869354.231
UT,2015,33293795.635
UT,2014,34740296.212
UT,2013,35110387.736
UT,2012,31694046.724000003
UT,2011,33174765.341
VA,2018,30990784.558000006
VA,2017,30021519.648000002
VA,2016,34499396.212000005
VA,2015,32239460.853999995
VA,2014,31250418.702000003
VA,2013,31477523.740000002
VA,2012,26041498.975999992
VA,2011,28963980.645999998
VT,2018,0.0
VT,2017,0.0
VT,2016,0.0
VT,2015,70.47
VT,2014,76.39
VT,2013,146.56
VT,2012,8864.652
VT,2011,10004.66
WA,2018,10307008.818000002
WA,2017,10313415.548
