State,Year,CBSA Code,Days with AQI,Good Days,Moderate Days,Unhealthy Days,Unhealthy for Sensitive Groups Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
WA,1990,10140,365,127,112,9,117,0,0,200,128,77,0,0,0,363,0,2
OH,1990,10420,365,108,144,7,105,1,0,207,126,74,2,0,102,260,0,1
OR,1990,10540,59,52,7,0,0,0,0,66,51,29,0,0,0,0,0,59
NY,1990,10580,364,227,109,3,24,1,0,201,91,44,3,94,147,118,0,2
NM,1990,10740,365,155,184,2,24,0,0,169,93,56,71,27,240,0,0,27
LA,1990,10780,333,260,57,0,16,0,0,143,84,38,0,0,325,0,0,8
PA,1990,10900,365,222,109,9,25,0,0,197,97,46,15,66,162,120,0,2
NJ,1990,10900,365,222,109,9,25,0,0,197,97,46,15,66,162,120,0,2
MI,1990,10940,144,101,24,0,19,0,0,142,105,26,15,0,0,129,0,0
PA,1990,11020,361,219,106,3,33,0,0,172,100,46,0,0,189,172,0,0
TX,1990,11100,13,13,0,0,0,0,0,28,24,14,0,0,0,0,0,13
IA,1990,11180,365,337,19,0,9,0,0,130,43,4,0,0,0,365,0,0
AK,1990,11260,363,206,141,2,14,0,0,159,84,44,158,0,0,0,0,205
MI,1990,11460,364,287,51,7,19,0,0,195,90,36,0,0,364,0,0,0
AL,1990,11500,55,52,3,0,0,0,0,60,43,23,0,0,0,0,0,55
WI,1990,11540,178,162,15,0,1,0,0,122,50,36,0,0,178,0,0,0
OK,1990,11620,57,54,3,0,0,0,0,52,37,21,0,0,0,0,0,57
AR,1990,11660,361,286,65,0,10,0,0,143,77,39,0,0,361,0,0,0
NC,1990,11700,233,195,32,0,6,0,0,136,64,38,0,0,208,0,0,25
OH,1990,11780,362,248,90,3,21,0,0,172,92,41,0,0,169,193,0,0
TN,1990,11940,358,254,79,0,25,0,0,141,84,32,0,100,0,230,0,28
GA,1990,12060,365,94,125,44,84,18,0,244,174,80,11,48,189,112,0,5
NJ,1990,12100,354,257,63,9,18,7,0,232,100,39,43,0,277,21,0,13
IN,1990,12140,14,12,2,0,0,0,0,67,51,31,0,0,0,0,0,14
GA,1990,12260,364,226,94,12,32,0,0,192,105,44,0,2,342,19,0,1
SC,1990,12260,364,226,94,12,32,0,0,192,105,44,0,2,342,19,0,1
ME,1990,12300,365,292,59,3,11,0,0,179,71,36,0,0,182,162,0,21
TX,1990,12420,365,282,63,4,16,0,0,200,77,38,25,100,240,0,0,0
CA,1990,12540,365,61,127,66,85,25,1,347,190,100,7,91,237,4,0,26
MD,1990,12580,365,110,169,22,57,7,0,226,140,64,22,100,130,112,0,1
ME,1990,12620,365,245,96,5,19,0,0,200,90,40,0,0,99,217,0,49
MA,1990,12700,209,154,36,7,11,1,0,210,97,40,0,0,209,0,0,0
VT,1990,12740,51,51,0,0,0,0,0,45,36,20,0,0,0,0,0,51
LA,1990,12940,365,145,139,20,51,10,0,234,143,58,1,70,198,96,0,0
MI,1990,12980,48,43,5,0,0,0,0,70,52,24,0,0,0,0,0,48
MI,1990,13020,123,106,11,0,6,0,0,114,62,22,0,0,0,72,0,51
TX,1990,13140,365,144,128,21,68,4,0,212,133,58,0,11,178,175,0,1
WI,1990,13180,178,146,28,0,4,0,0,143,71,41,0,0,178,0,0,0
OH,1990,13340,203,140,31,13,19,0,0,190,119,43,0,0,203,0,0,0
WA,1990,13380,365,309,53,0,3,0,0,111,56,33,70,0,138,137,0,20
OR,1990,13460,218,147,71,0,0,0,0,81,62,41,170,0,0,0,0,48
VT,1990,13540,207,150,42,4,11,0,0,159,87,42,0,0,207,0,0,0
NH,1990,13620,365,84,161,11,109,0,0,200,123,75,0,0,0,325,0,40
VT,1990,13620,365,84,161,11,109,0,0,200,123,75,0,0,0,325,0,40
MT,1990,13740,365,13,80,40,232,0,0,200,152,114,4,0,0,361,0,0
NY,1990,13780,30,30,0,0,0,0,0,48,44,19,0,0,0,0,0,30
AL,1990,13820,365,173,126,25,39,2,0,203,133,51,56,0,188,58,0,63
CA,1990,13860,76,66,6,0,1,0,3,762,56,23,0,0,0,0,0,76
