"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2019,60,52,8,0,0,0,0,77,56,24,0,0,0,0,54,6
"Aberdeen, WA","10140",2019,199,199,0,0,0,0,0,40,30,18,0,0,0,0,199,0
"Adjuntas, PR","10260",2019,57,53,4,0,0,0,0,58,44,18,0,0,0,0,57,0
"Adrian, MI","10300",2019,181,145,36,0,0,0,0,90,57,40,0,0,94,0,87,0
"Akron, OH","10420",2019,273,203,67,3,0,0,0,115,62,44,0,0,162,1,110,0
"Albany, GA","10500",2019,203,121,80,2,0,0,0,107,67,44,0,0,0,0,203,0
"Albany, OR","10540",2019,90,81,9,0,0,0,0,95,52,26,0,0,0,0,90,0
"Albany-Schenectady-Troy, NY","10580",2019,274,246,28,0,0,0,0,92,51,39,1,0,215,0,58,0
"Albuquerque, NM","10740",2019,273,120,149,4,0,0,0,108,80,54,0,0,228,0,28,17
"Alexandria, LA","10780",2019,58,54,4,0,0,0,0,71,46,29,0,0,0,0,58,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2019,212,163,45,4,0,0,0,119,67,42,0,7,146,0,59,0
"Altoona, PA","11020",2019,206,165,41,0,0,0,0,90,60,42,0,0,145,0,61,0
"Amarillo, TX","11100",2019,212,147,59,6,0,0,0,112,67,45,0,0,179,16,17,0
"Americus, GA","11140",2019,207,180,27,0,0,0,0,97,58,40,0,0,207,0,0,0
"Anchorage, AK","11260",2019,181,129,49,3,0,0,0,136,70,31,2,0,0,0,111,68
"Ann Arbor, MI","11460",2019,209,171,38,0,0,0,0,88,58,39,0,0,183,0,26,0
"Appleton, WI","11540",2019,243,206,35,2,0,0,0,119,58,38,0,0,132,5,106,0
"Ardmore, OK","11620",2019,273,201,72,0,0,0,0,97,59,44,0,0,171,0,102,0
"Arkadelphia, AR","11660",2019,205,199,6,0,0,0,0,61,46,33,0,0,205,0,0,0
