Custom Chart
https://www.eia.gov/outlooks/steo/data/browser/#/?v=28&f=A&s=&start=1997&end=2019&id=&map=&ctype=linechart&maptype=0&linechart=ZWCDPUS~ZWHDPUS~ZWHD_PAC~ZWHD_MTN~ZWHD_WSC~ZWHD_ESC~ZWHD_SAC~ZWHD_WNC~ZWHD_ENC~ZWHD_MAC~ZWHD_NEC~ZWCD_PAC~ZWCD_MTN~ZWCD_WSC~ZWCD_ESC~ZWCD_SAC~ZWCD_WNC~ZWCD_ENC~ZWCD_MAC~ZWCD_NEC
13:42:23 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Year,Cooling Degree days: U.S. (cooling degree days) cooling degree days,Heating Degree days: U.S. (heating degree days) heating degree days,Heating Degree days: Pacific (heating degree days) heating degree days,Heating Degree days: Mountain (heating degree days) heating degree days,Heating Degree days: West South Central (heating degree days) heating degree days,Heating Degree days: East South Central (heating degree days) heating degree days,Heating Degree days: South Atlantic (heating degree days) heating degree days,Heating Degree days: West North Central (heating degree days) heating degree days,Heating Degree days: East North Central (heating degree days) heating degree days,Heating Degree days: Middle Atlantic (heating degree days) heating degree days,Heating Degree days: New England (heating degree days) heating degree days,Cooling Degree days: Pacific (cooling degree days) cooling degree days,Cooling Degree days: Mountain (cooling degree days) cooling degree days,Cooling Degree days: West South Central (cooling degree days) cooling degree days,Cooling Degree days: East South Central (cooling degree days) cooling degree days,Cooling Degree days: South Atlantic (cooling degree days) cooling degree days,Cooling Degree days: West North Central (cooling degree days) cooling degree days,Cooling Degree days: East North Central (cooling degree days) cooling degree days,Cooling Degree days: Middle Atlantic (cooling degree days) cooling degree days,Cooling Degree days: New England (cooling degree days) cooling degree days
2021,1401.0,4178.6,3320.2,4801.8,2031.2,3414.2,2590.8,6517.7,6259.9,5676.5,6260.1,849.1,1477.0,2684.2,1657.0,2186.6,929.9,748.1,707.2,505.2
2020,1405.8,4045.5,3277.8,4760.7,1887.5,3217.4,2417.5,6428.2,6038.2,5507.1,6142.2,849.2,1475.9,2697.4,1657.5,2213.0,930.2,748.1,707.0,505.2
2019,1499.3,4303.3,3548.1,5302.2,2147.3,3181.8,2380.8,7073.3,6435.6,5739.9,6520.1,835.1,1400.4,2754.4,1875.1,2513.2,951.9,827.5,784.6,534.6
2018,1585.3,4277.9,3169.5,4802.6,2251.8,3478.8,2626.4,6969.0,6433.5,5783.6,6326.2,1002.2,1573.4,2856.6,1928.2,2418.8,1134.1,972.1,885.5,667.0
2017,1428.5,3827.6,3186.8,4567.7,1581.8,2835.4,2231.3,5997.3,5683.6,5332.5,6037.8,1053.1,1548.0,2718.0,1585.2,2254.3,910.7,708.7,660.6,450.4
2016,1558.5,3878.3,3031.1,4619.0,1752.1,3093.6,2456.0,5786.3,5700.8,5353.0,5929.5,928.4,1497.3,2882.4,1957.0,2412.3,1072.8,957.5,887.8,625.7
2015,1488.2,4086.7,2899.4,4600.2,2087.1,3222.0,2488.1,6088.6,6165.5,5777.3,6521.5,1067.2,1478.7,2741.2,1717.9,2404.3,941.9,729.2,803.8,555.2
2014,1298.9,4552.1,2776.3,4743.7,2422.8,3933.4,2952.7,7303.8,7195.7,6206.9,6677.1,1069.1,1430.7,2474.7,1492.9,2007.3,812.6,609.5,595.9,419.5
2013,1307.0,4466.1,3365.1,5273.2,2325.9,3649.4,2729.2,7134.8,6622.7,5842.2,6427.6,889.8,1461.5,2536.1,1439.6,2007.0,891.3,688.9,681.1,539.9
2012,1495.5,3769.7,3414.2,4575.3,1650.7,2876.4,2299.3,5516.3,5357.0,4972.8,5564.0,918.0,1571.3,2914.5,1760.5,2167.9,1221.1,973.6,814.5,562.9
